emp232,wage232,emp236,wage236,emp234,wage234,emp314,wage314,emp228,wage228,emp233,wage233,emp394,wage394,emp231,wage231,emp226,wage226,emp387,wage387,emp056,wage056,unem,cpi,minwage,lemp232,lwage232,gemp232,gwage232,lminwage,gmwage,gmwage_1,gmwage_2,gmwage_3,gmwage_4,gmwage_5,gmwage_6,gmwage_7,gmwage_8,gmwage_9,gmwage_10,gmwage_11,gmwage_12,lemp236,gcpi,lcpi,lwage236,gemp236,gwage236,lemp234,lwage234,gemp234,gwage234,lemp314,lwage314,gemp314,gwage314,t
270.6,0.86,53.1,0.99,93.4,0.92,253.9,0.99,185.3,0.91,346.5,1.55,79.5,1.03,143.7,1.27,90.6,1.07,41.9,1.07,559.5,0.94,,21.5,0.4,5.600642,-0.1508229,,,-0.9162907,,,,,,,,,,,,,,3.972177,,3.068053,-0.0100503,,,4.536891,-0.0833816,,,5.536941,-0.0100503,,,1
272.4,0.86,54.8,1,94.6,0.92,256.6,0.98,184.7,0.94,357.6,1.57,79.5,1.04,145.8,1.27,90.7,1.08,42.4,1.07,544,0.94,,21.5,0.4,5.607272,-0.1508229,0.0066299,0,-0.9162907,0,,,,,,,,,,,,,4.00369,0,3.068053,0,0.0315135,0.0100503,4.549657,-0.0833816,0.0127659,0,5.547518,-0.0202027,0.0105777,-0.0101524,2
268.6,0.86,52.9,0.98,95.4,0.91,256.9,0.99,182.2,0.98,358.2,1.54,79.6,1.05,146.6,1.27,90.6,1.1,42,1.08,571.8,0.96,,21.9,0.4,5.593223,-0.1508229,-0.0140486,0,-0.9162907,0,0,,,,,,,,,,,,3.968403,0.0184336,3.086487,-0.0202027,-0.0352869,-0.0202027,4.558079,-0.0943106,0.0084214,-0.0109291,5.548687,-0.0100503,0.0011687,0.0101524,3
262.6,0.86,48.3,0.91,95.2,0.92,253.8,0.99,179.6,0.98,326.7,1.42,78.2,1.05,145.9,1.25,89.4,1.13,41.7,1.09,582.2,0.98,,21.9,0.4,5.570632,-0.1508229,-0.0225911,0,-0.9162907,0,0,0,,,,,,,,,,,3.877432,0,3.086487,-0.0943106,-0.0909717,-0.074108,4.55598,-0.0833816,-0.002099,0.0109291,5.536547,-0.0100503,-0.0121403,0,4
258,0.87,47.6,0.93,96.3,0.92,245.8,0.99,173.8,0.98,302.8,1.38,76.2,1.06,145.7,1.25,88.6,1.12,41.6,1.1,578,0.97,,21.9,0.4,5.552959,-0.1392621,-0.0176725,0.0115608,-0.9162907,0,0,0,0,,,,,,,,,,3.862833,0,3.086487,-0.0725707,-0.0145988,0.02174,4.567468,-0.0833816,0.0114884,0,5.504518,-0.0100503,-0.0320287,0,5
255.8,0.87,49.7,0.95,96.7,0.93,248.6,1.01,168.8,0.97,298.4,1.41,75.1,1.07,148.3,1.24,88,1.13,41.3,1.12,582.2,0.99,,22,0.4,5.544396,-0.1392621,-0.0085635,0,-0.9162907,0,0,0,0,0,,,,,,,,,3.906005,0.0045559,3.091043,-0.0512933,0.0431721,0.0212774,4.571613,-0.0725707,0.0041451,0.0108109,5.515845,0.0099503,0.0113273,0.0200006,6
246.8,0.87,50.2,0.96,94.3,0.92,251.2,1.01,163.4,0.97,310.4,1.49,76.2,1.07,143.1,1.24,85.3,1.12,37.2,1.13,544,0.98,,22.2,0.4,5.508578,-0.1392621,-0.0358176,0,-0.9162907,0,0,0,0,0,0,,,,,,,,3.916015,0.0090499,3.100092,-0.040822,0.0100102,0.0104713,4.546481,-0.0833816,-0.0251322,-0.0108109,5.526249,0.0099503,0.0104041,0,7
259.9,0.86,54.2,0.97,97.1,0.92,259.3,1.01,164.4,0.97,340.6,1.54,81.2,1.09,149.5,1.24,85.9,1.13,40.5,1.13,528.5,0.97,,22.5,0.4,5.560297,-0.1508229,0.0517187,-0.0115608,-0.9162907,0,0,0,0,0,0,0,,,,,,,3.992681,0.013423,3.113515,-0.0304592,0.0766659,0.0103628,4.575741,-0.0833816,0.0292602,0,5.557986,0.0099503,0.0317364,0,8
264.4,0.88,55.2,0.98,99.1,0.94,261.8,1.02,166.5,0.99,348.3,1.54,84.9,1.1,150.9,1.26,87.9,1.16,41.2,1.15,581.1,1,,23,0.4,5.577463,-0.1278334,0.0171661,0.0229895,-0.9162907,0,0,0,0,0,0,0,0,,,,,,4.010963,0.0219789,3.135494,-0.0202027,0.0182819,0.0102565,4.596129,-0.0618754,0.0203881,0.0215062,5.567581,0.0198026,0.0095949,0.0098523,9
268.5,0.89,56.8,1.01,104.2,0.95,263.4,1.03,170.1,0.99,350.8,1.54,89.3,1.1,152.9,1.27,90.1,1.16,41.6,1.16,614.2,1.01,,23,0.4,5.592851,-0.1165338,0.0153875,0.0112996,-0.9162907,0,0,0,0,0,0,0,0,0,,,,,4.039536,0,3.135494,0.0099503,0.0285735,0.030153,4.646312,-0.0512933,0.0501828,0.0105821,5.573674,0.0295588,0.006093,0.0097562,10
