X1	X2	Y
2.96	596.0	1.0
3.14	473.0	1.0
3.22	482.0	1.0
3.29	527.0	1.0
3.69	505.0	1.0
4.46	693.0	1.0
3.03	626.0	1.0
3.19	663.0	1.0
3.63	447.0	1.0
3.59	558.0	1.0
3.3	563.0	1.0
3.4	553.0	1.0
3.5	572.0	1.0
3.78	591.0	1.0
3.44	692.0	1.0
3.48	528.0	1.0
3.47	552.0	1.0
3.35	520.0	1.0
3.39	543.0	1.0
3.28	523.0	1.0
3.21	530.0	1.0
3.58	564.0	1.0
3.33	565.0	1.0
3.4	431.0	1.0
3.38	605.0	1.0
3.26	664.0	1.0
3.06	609.0	1.0
3.37	559.0	1.0
3.8	521.0	1.0
3.76	646.0	1.0
3.24	467.0	1.0
2.54	466.0	2.0
2.43	425.0	2.0
2.2	474.0	2.0
2.36	531.0	2.0
2.47	542.0	2.0
2.35	406.0	2.0
2.51	412.0	2.0
2.51	359.0	2.0
2.36	339.0	2.0
2.36	482.0	2.0
2.66	420.0	2.0
2.68	414.0	2.0
2.48	533.0	2.0
2.46	509.0	2.0
2.63	504.0	2.0
2.44	336.0	2.0
2.13	408.0	2.0
2.41	469.0	2.0
2.55	538.0	2.0
2.31	505.0	2.0
2.41	489.0	2.0
2.19	411.0	2.0
2.35	321.0	2.0
2.6	394.0	2.0
2.55	528.0	2.0
2.72	399.0	2.0
2.85	381.0	2.0
2.29	384.0	2.0
2.86	494.0	3.0
2.85	496.0	3.0
3.14	419.0	3.0
3.28	371.0	3.0
2.89	447.0	3.0
3.15	313.0	3.0
3.5	402.0	3.0
2.89	485.0	3.0
2.8	444.0	3.0
3.13	416.0	3.0
3.01	471.0	3.0
2.79	490.0	3.0
2.89	431.0	3.0
2.91	446.0	3.0
2.57	546.0	3.0
2.73	446.0	3.0
3.12	463.0	3.0
3.08	440.0	3.0
3.03	419.0	3.0
3.0	509.0	3.0
3.03	438.0	3.0
3.05	339.0	3.0
2.85	483.0	3.0
3.01	453.0	3.0
3.03	414.0	3.0
3.04	446.0	3.0
