Brand	Price	Calories	Fat	Vitamin	Fruits	Age	Choice
1	2.5	463	28	9	13	34	1
2	5	926	57	4	6	22	0
3	2.28	310	19	13	18	23	1
4	4	1080	66	4	6	40	0
5	2.5	154	9	15	21	36	1
6	3.97	221	14	5	7	45	1
1	3.26	617	38	6	9	21	1
2	3.97	700	50	5	6	45	0
3	1.86	309	19	13	18	23	1
4	5.46	1100	67	4	6	21	0
5	1.86	309	19	13	18	44	1
6	3.97	460	14	5	9	34	1
7	3.26	617	33	6	9	44	1
8	4.5	1080	57	4	6	43	0
9	3.97	710	41	5	6	20	0
7	3.26	617	33	6	9	18	1
8	3.5	1150	61	5	6	22	0
9	3.97	720	41	5	7	18	0
1	2.28	401	21	10	14	21	1
2	3.49	668	35	6	9	44	0
3	1.67	267	14	11	18	44	1
4	3.5	935	49	4	6	21	0
5	1.07	134	7	12	17	20	1
6	3.49	241	11	6	9	18	1
1	2.28	401	23	10	14	22	1
2	4.1	802	46	5	7	22	0
1	2.88	534	31	7	10	35	1
2	3.49	668	38	6	9	42	0
3	2.88	550	31	7	10	43	1
4	4.71	935	54	4	6	45	0
5	1.28	182	10	15	21	18	1
6	4.6	352	52	4	6	44	1
7	3.78	730	42	5	7	43	0
8	6.26	1200	73	3	4	21	0
9	4.6	912	52	4	6	44	0
7	3.78	730	42	5	7	80	0
8	5.5	1277	73	6	9	28	0
9	4.6	912	52	4	6	45	0
1	3.78	730	42	5	7	32	0
2	4.6	912	52	4	6	28	0
3	2.94	547	31	7	10	45	1
4	5.75	1200	69	3	4	20	0
1	3.78	730	42	5	7	18	0
2	5.43	1094	63	4	6	45	0
3	2.12	365	21	11	16	18	1
4	6.25	1275	73	3	4	32	0
5	1.28	182	10	15	21	25	1
6	4.6	912	52	4	6	20	0
7	2.94	547	31	7	10	18	1
8	6.23	1270	73	3	4	22	0
9	3.78	730	42	5	8	23	0
6	3.12	211	33	7	10	77	1
7	2.58	468	27	9	13	55	1
8	3.65	702	47	6	9	57	0
9	3.12	585	39	7	10	62	1
7	1.52	234	16	17	24	47	1
8	4.18	818	55	5	7	58	0
9	3.12	585	39	7	11	55	1
1	2.58	468	31	9	13	55	1
2	3.65	702	47	6	9	57	0
3	2.05	351	23	11	16	81	1
4	4.18	818	55	5	7	58	0
5	1.5	117	8	15	12	57	1
6	3.12	241	39	7	10	64	1
1	2.58	468	31	9	13	62	1
2	3.65	702	47	6	9	61	0
1	2.58	468	31	9	14	66	1
2	3.65	702	47	6	9	48	1
3	1.88	312	21	13	18	55	1
4	5.42	1091	73	4	2	55	0
5	1.17	156	10	14	20	62	1
6	4	280	52	5	7	55	1
7	3.29	623	42	6	9	81	0
8	4.5	1091	73	4	7	58	0
9	4	740	52	5	7	60	0
7	2.58	468	31	9	13	70	1
8	5.42	1091	73	4	6	65	0
9	4	779	52	5	2	64	0
1	3.29	623	42	6	9	87	1
2	4	779	52	5	7	50	0
3	2.58	468	31	9	13	67	1
4	5.42	1091	73	4	6	70	0
1	2.58	468	31	9	13	64	1
2	4	790	52	5	7	81	0
3	1.88	312	21	13	18	70	1
4	5.42	1091	73	4	6	55	0
5	1.17	156	10	15	21	57	1
6	4	300	52	5	9	81	1
7	2.58	468	31	9	13	58	1
6	4	200	52	5	1	60	1
7	2.58	500	31	9	13	65	1
8	5.42	1100	73	4	6	50	0
9	4	820	52	5	3	65	1
7	2.58	468	31	9	5	55	1
8	5.42	1091	73	4	6	57	0
9	4	730	52	5	7	58	0
1	2.58	468	31	9	13	44	1
2	4.71	935	62	4	3	43	0
3	1.88	312	21	13	18	25	1
4	5.42	1091	73	4	6	45	0
5	1.17	156	10	16	23	42	1
6	4	250	52	5	2	43	1
1	3.28	620	41	6	9	35	1
2	4.68	930	62	4	6	40	0
1	3.28	620	41	6	9	42	1
2	3.98	775	52	5	7	36	0
3	1.87	310	21	13	18	43	1
4	5.39	1085	72	4	6	45	0
5	1.16	155	10	17	24	18	1
6	3.98	240	11	5	2	21	1
7	2.57	465	31	9	13	20	1
8	5.39	1085	72	4	6	45	0
9	3.98	775	52	5	2	23	0
7	2.57	465	31	10	14	45	1
8	5.39	1085	72	5	4	22	0
9	3.98	775	52	5	2	45	0
1	3.28	620	41	6	9	23	0
2	3.98	775	52	5	7	35	0
3	1.87	310	21	13	18	40	1
4	5.39	1085	72	4	6	42	0
1	1.87	310	21	13	18	36	1
2	3.98	775	52	5	2	43	0
3	1.87	310	21	13	18	21	1
4	5.39	1085	72	4	6	45	0
5	1.16	155	10	18	31	34	1
6	3.98	230	14	5	2	43	1
7	2.57	465	31	12	17	45	1
8	5.39	1085	72	4	6	21	0
9	4.68	930	62	4	6	45	0
9	2.57	465	31	9	13	40	1
1	4.68	930	62	5	2	36	0
2	1.87	310	21	13	18	44	1
3	5.39	1085	72	4	6	34	0
4	1.13	149	10	17	3	18	1
1	3.84	744	50	6	9	23	0
2	3.16	595	40	8	11	22	1
3	3.84	744	50	5	7	35	0
4	1.81	297	20	13	9	32	0
5	5.19	1041	69	4	6	45	0
6	1.81	297	10	13	9	27	1
