Date,Open,High,Low,Close,Volume,Adj Close
2010-05-04,2821.35,2862.55,2809.13,2835.28,4294967200,2835.28
2010-04-30,2867.65,2875.81,2820.95,2870.61,4294967200,2870.61
2010-04-29,2912.20,2928.93,2867.94,2868.43,4294967200,2868.43
2010-04-28,2883.17,2916.68,2865.47,2900.33,4294967200,2900.33
2010-04-27,2962.15,2962.15,2866.34,2907.93,4294967200,2907.93
2010-04-26,2988.08,2996.83,2965.83,2969.50,4294967200,2969.50
2010-04-23,2995.57,3015.63,2966.78,2983.54,4294967200,2983.54
2010-04-22,3021.29,3023.64,2978.46,2999.48,4294967200,2999.48
2010-04-21,2984.62,3034.33,2972.10,3033.28,4294967200,3033.28
2010-04-20,2980.08,2998.91,2941.35,2979.53,4294967200,2979.53
2010-04-19,3096.78,3096.78,2977.77,2980.30,4294967200,2980.30
2010-04-16,3159.67,3159.67,3121.37,3130.30,4294967200,3130.30
2010-04-15,3168.14,3181.66,3135.99,3164.97,4294967200,3164.97
2010-04-14,3161.55,3167.66,3145.55,3166.18,4294967200,3166.18
2010-04-13,3129.69,3173.63,3101.48,3161.25,4294967200,3161.25
2010-04-12,3151.89,3156.21,3111.90,3129.26,4294967200,3129.26
2010-04-09,3118.93,3146.46,3114.79,3145.35,4294967200,3145.35
2010-04-08,3143.45,3143.83,3110.26,3118.71,4294967200,3118.71
2010-04-07,3156.31,3161.08,3132.24,3148.22,4294967200,3148.22
2010-04-06,3170.61,3177.97,3141.93,3158.68,4294967200,3158.68
2010-04-02,3154.77,3159.60,3141.87,3157.96,4294967200,3157.96
2010-04-01,3111.94,3148.34,3111.94,3147.42,4294967200,3147.42
2010-03-31,3129.57,3130.11,3101.76,3109.10,4294967200,3109.10
2010-03-30,3123.83,3132.58,3113.77,3128.47,4294967200,3128.47
2010-03-29,3076.05,3130.28,3071.69,3123.80,4294967200,3123.80
2010-03-26,3017.22,3067.71,3009.91,3059.72,4294967200,3059.72
2010-03-25,3051.36,3051.36,3012.31,3019.18,4294967200,3019.18
2010-03-24,3058.93,3076.75,3052.21,3056.81,4294967200,3056.81
2010-03-23,3076.96,3082.97,3051.21,3053.12,4294967200,3053.12
2010-03-22,3069.66,3083.34,3061.76,3074.58,4294967200,3074.58
2010-03-19,3046.75,3069.66,3031.02,3067.75,4294967200,3067.75
2010-03-18,3053.16,3063.59,3035.02,3046.09,4294967200,3046.09
2010-03-17,2999.81,3050.76,2994.89,3050.48,4294967200,3050.48
2010-03-16,2974.49,2993.84,2963.44,2992.84,4294967200,2992.84
2010-03-15,3010.72,3013.52,2963.49,2976.94,4294967200,2976.94
2010-03-12,3051.47,3057.52,3011.97,3013.41,4294967200,3013.41
2010-03-11,3050.64,3070.94,3025.31,3051.28,4294967200,3051.28
2010-03-10,3067.15,3085.99,3034.74,3048.93,4294967200,3048.93
2010-03-09,3053.26,3084.85,3028.69,3069.14,4294967200,3069.14
2010-03-08,3036.42,3058.83,3030.91,3053.23,4294967200,3053.23
2010-03-05,3026.64,3044.17,3011.09,3031.06,4294967200,3031.06
2010-03-04,3098.07,3102.40,3016.22,3023.37,4294967200,3023.37
2010-03-03,3074.10,3098.46,3061.47,3097.00,4294967200,3097.00
2010-03-02,3089.71,3095.99,3060.96,3073.11,4294967200,3073.11
2010-03-01,3057.01,3093.09,3054.55,3087.84,4294967200,3087.84
2010-02-26,3053.50,3067.52,3041.69,3051.94,4294967200,3051.94
2010-02-25,3026.66,3063.00,3022.37,3060.62,4294967200,3060.62
2010-02-24,2964.98,3023.74,2955.07,3022.18,4294967200,3022.18
2010-02-23,2998.91,2998.91,2938.75,2982.57,4294967200,2982.57
2010-02-22,3016.70,3026.66,3002.81,3003.40,4294967200,3003.40
2010-02-12,2996.09,3018.86,2993.44,3018.13,4294967200,3018.13
2010-02-11,2985.08,3001.64,2976.08,2985.50,4294967200,2985.50
2010-02-10,2967.14,2983.18,2958.22,2982.50,4294967200,2982.50
2010-02-09,2932.09,2957.47,2929.21,2948.84,4294967200,2948.84
2010-02-08,2936.45,2954.27,2922.19,2935.17,4294967200,2935.17
2010-02-05,2936.20,2959.23,2918.91,2939.40,4294967200,2939.40
2010-02-04,2983.05,3015.13,2968.68,2995.31,4294967200,2995.31
2010-02-03,2945.03,3005.13,2890.02,3003.83,4294967200,3003.83
2010-02-02,2955.75,2990.75,2930.56,2934.71,4294967200,2934.71
2010-02-01,2981.37,2981.37,2912.89,2941.36,4294967200,2941.36
2010-01-29,2979.74,3024.85,2968.45,2989.29,4294967200,2989.29
2010-01-28,2985.21,3006.04,2963.89,2994.14,4294967200,2994.14
2010-01-27,3020.54,3028.65,2972.63,2986.61,4294967200,2986.61
2010-01-26,3094.85,3107.20,3001.96,3019.39,4294967200,3019.39
2010-01-25,3103.32,3137.00,3092.93,3094.41,4294967200,3094.41
2010-01-22,3118.72,3147.83,3062.63,3128.59,4294967200,3128.59
2010-01-21,3154.19,3176.15,3126.90,3158.86,4294967200,3158.86
2010-01-20,3252.04,3255.13,3148.33,3151.85,4294967200,3151.85
2010-01-19,3242.22,3268.81,3236.84,3246.87,4294967200,3246.87
2010-01-18,3213.64,3238.24,3202.21,3237.10,4294967200,3237.10
2010-01-15,3217.19,3241.81,3197.22,3224.15,4294967200,3224.15
2010-01-14,3183.38,3219.02,3165.60,3215.55,4294967200,3215.55
2010-01-13,3204.98,3232.82,3165.49,3172.66,4294967200,3172.66
2010-01-12,3205.71,3275.20,3180.08,3273.97,4294967200,3273.97
2010-01-11,3301.61,3306.75,3197.33,3212.75,4294967200,3212.75
2010-01-08,3177.26,3198.92,3149.02,3196.00,4294967200,3196.00
2010-01-07,3253.99,3268.82,3176.71,3192.78,4294967200,3192.78
2010-01-06,3277.52,3295.87,3253.04,3254.22,4294967200,3254.22
2010-01-05,3254.47,3290.51,3221.46,3282.18,4294967200,3282.18
2010-01-04,3289.75,3295.28,3243.32,3243.76,4294967200,3243.76
2009-12-31,3265.00,3282.21,3250.03,3277.14,4294967200,3277.14
2009-12-30,3211.83,3267.00,3206.22,3262.60,4294967200,3262.60
2009-12-29,3190.17,3212.52,3166.76,3211.76,4294967200,3211.76
2009-12-28,3148.86,3202.09,3148.86,3188.78,4294967200,3188.78
2009-12-25,3149.23,3154.77,3128.15,3141.35,4294967200,3141.35
2009-12-23,3048.20,3078.84,3041.35,3073.78,4294967200,3073.78
2009-12-22,3126.61,3129.31,3039.86,3050.52,4294967200,3050.52
2009-12-21,3108.07,3123.99,3088.00,3122.97,4294967200,3122.97
2009-12-18,3154.81,3169.58,3108.03,3113.89,4294967200,3113.89
2009-12-17,3261.61,3272.98,3176.63,3179.08,4294967200,3179.08
2009-12-16,3262.86,3299.33,3246.61,3255.21,4294967200,3255.21
2009-12-15,3283.60,3303.18,3267.94,3274.46,4294967200,3274.46
2009-12-14,3246.95,3315.03,3178.23,3302.90,4294967200,3302.90
2009-12-11,3260.45,3280.94,3242.37,3247.32,4294967200,3247.32
2009-12-10,3258.35,3276.13,3225.56,3254.26,4294967200,3254.26
2009-12-09,3258.00,3284.65,3228.20,3239.57,4294967200,3239.57
2009-12-08,3330.33,3330.38,3260.67,3296.66,4294967200,3296.66
2009-12-07,3313.06,3334.01,3302.13,3331.90,4294967200,3331.90
2009-12-04,3256.61,3319.13,3214.84,3317.04,4294967200,3317.04
2009-12-03,3268.00,3270.37,3227.77,3264.63,4294967200,3264.63
2009-12-02,3252.98,3278.27,3245.96,3269.75,4294967200,3269.75
2009-12-01,3191.06,3240.66,3173.42,3235.36,4294967200,3235.36
2009-11-30,3114.29,3195.88,3114.29,3195.30,4294967200,3195.30
2009-11-27,3137.30,3169.75,3080.89,3096.26,4294967200,3096.26
2009-11-26,3296.01,3305.33,3160.35,3170.98,4294967200,3170.98
2009-11-25,3214.81,3291.17,3188.02,3290.17,4294967200,3290.17
2009-11-24,3352.22,3361.39,3214.03,3223.53,4294967200,3223.53
2009-11-23,3312.97,3339.30,3305.50,3338.66,4294967200,3338.66
2009-11-20,3309.38,3332.53,3280.18,3308.35,4294967200,3308.35
2009-11-19,3311.19,3329.03,3285.80,3320.61,4294967200,3320.61
2009-11-18,3287.26,3315.87,3274.21,3303.23,4294967200,3303.23
2009-11-17,3291.04,3298.38,3275.30,3282.89,4294967200,3282.89
