Date,Open,High,Low,Close,Volume,Adj Close
2010/5/4,1572.84,1581.32,1517.62,1517.83,0,1517.83
2010/4/30,1587.94,1592.26,1569.07,1572.84,0,1572.84
2010/4/29,1563.1,1589.37,1558.02,1588.75,0,1588.75
2010/4/28,1603.39,1603.39,1555.24,1563.1,0,1563.1
2010/4/27,1626.1,1626.82,1594.28,1603.59,0,1603.59
2010/4/26,1604.86,1633.19,1599.93,1626.1,0,1626.1
2010/4/23,1583.9,1606.16,1582.66,1602.99,0,1602.99
2010/4/22,1610.23,1619.37,1577.88,1583.54,0,1583.54
2010/4/21,1619.43,1631.27,1605.77,1610.23,0,1610.23
2010/4/20,1601.32,1626.45,1597.81,1619.43,0,1619.43
2010/4/19,1642.82,1645.76,1580.34,1601.67,0,1601.67
2010/4/16,1676.27,1677.51,1642.45,1642.57,0,1642.57
2010/4/15,1673.41,1685.6,1665.18,1676.27,0,1676.27
2010/4/14,1643.91,1673.59,1643.55,1673.41,0,1673.41
2010/4/13,1648.43,1653.63,1636.32,1643.98,0,1643.98
2010/4/12,1631.71,1658.74,1624.52,1648.43,0,1648.43
2010/4/9,1600.84,1636.04,1599.63,1631.81,0,1631.81
2010/4/8,1613.94,1617.97,1586.57,1600.84,0,1600.84
2010/4/7,1633.32,1637.28,1611.13,1613.88,0,1613.88
2010/4/6,1626.79,1642.37,1617.95,1633.32,0,1633.32
2010/4/5,1614.45,1627.37,1613.02,1626.79,0,1626.79
2010/4/2,1608.44,1622.35,1606.24,1614.45,0,1614.45
2010/4/1,1572.48,1611.45,1569.6,1608.39,0,1608.39
2010/3/31,1562.09,1584.72,1556.02,1572.48,0,1572.48
2010/3/30,1551.7,1570.26,1551.51,1562.29,0,1562.29
2010/3/29,1522.48,1552.38,1514.6,1551.57,0,1551.57
2010/3/26,1515.22,1527.22,1507.36,1519.87,0,1519.87
2010/3/25,1513.67,1519.81,1504.6,1515.04,0,1515.04
2010/3/24,1526.63,1531.2,1506.17,1514.58,0,1514.58
2010/3/23,1527.88,1545.92,1518.29,1524.96,0,1524.96
2010/3/22,1546.34,1546.68,1509.56,1525.59,0,1525.59
2010/3/19,1560.04,1564.54,1540.74,1544.71,0,1544.71
2010/3/18,1563.73,1572.63,1547.41,1558.8,0,1558.8
2010/3/17,1536.74,1569.77,1534.36,1563.46,0,1563.46
2010/3/16,1514.72,1536.79,1512.64,1536.79,0,1536.79
2010/3/15,1534.68,1536.24,1513.07,1514.4,0,1514.4
2010/3/12,1503.59,1544.09,1502.07,1534.68,0,1534.68
2010/3/11,1501.4,1516.74,1495.14,1504.04,0,1504.04
2010/3/10,1502.48,1515.81,1495.91,1501.4,0,1501.4
2010/3/9,1508.2,1515.84,1488.01,1502.7,0,1502.7
2010/3/5,1468.71,1508.76,1468.39,1508.21,0,1508.21
2010/3/4,1460.05,1480.23,1449.5,1470.41,0,1470.41
2010/3/3,1445.09,1463.74,1438.05,1460.2,0,1460.2
2010/3/2,1427.35,1448.02,1424.46,1445.62,0,1445.62
2010/3/1,1408.57,1432.89,1402.9,1429.77,0,1429.77
2010/2/26,1373.36,1393.82,1368.73,1390.25,0,1390.25
2010/2/25,1401.56,1412.27,1363.96,1373.11,0,1373.11
2010/2/24,1423.13,1427.87,1392.85,1401.48,0,1401.48
2010/2/19,1410.85,1423.13,1381.55,1423.13,0,1423.13
2010/2/18,1421.97,1427.3,1396.85,1410.85,0,1410.85
2010/2/17,1418,1436.7,1413.85,1421.97,0,1421.97
2010/2/16,1377.17,1418.16,1374.73,1418.16,0,1418.16
2010/2/15,1363.83,1377.08,1362.89,1375.99,0,1375.99
2010/2/12,1391.94,1406.74,1355.95,1363.83,0,1363.83
2010/2/11,1387.11,1410.71,1384.38,1391.94,0,1391.94
2010/2/10,1390.29,1417.65,1380.29,1387.11,0,1387.11
2010/2/9,1376.42,1399.71,1374.32,1390.32,0,1390.32
2010/2/8,1411.51,1421.37,1372.83,1375.34,0,1375.34
2010/2/5,1462.25,1466.95,1394.19,1411.14,0,1411.14
2010/2/4,1507.59,1514.07,1459.38,1463.01,0,1463.01
2010/2/3,1498.75,1530,1497.47,1507.15,0,1507.15
2010/2/2,1470.94,1499.19,1469.17,1498.75,0,1498.75
2010/2/1,1473.81,1473.84,1452.08,1470.79,0,1470.79
2010/1/29,1458.14,1474.13,1444.1,1473.81,0,1473.81
2010/1/28,1448.11,1478.39,1440.5,1460.98,0,1460.98
2010/1/27,1444.87,1462.19,1424.88,1446.36,0,1446.36
2010/1/26,1485.53,1489.63,1431.92,1444.33,0,1444.33
2010/1/25,1491.27,1501.32,1471.56,1485.92,0,1485.92
2010/1/22,1530.53,1533.18,1480.15,1489.46,0,1489.46
2010/1/21,1556.33,1564.31,1527.33,1530.29,0,1530.29
2010/1/20,1580.63,1590.02,1555.92,1556.97,0,1556.97
2010/1/19,1581.09,1588.96,1556.26,1580.67,0,1580.67
2010/1/18,1559.25,1581.09,1551.99,1581.09,0,1581.09
2010/1/15,1561.91,1573.9,1553.83,1559.25,0,1559.25
2010/1/14,1538.37,1561.91,1538.22,1561.91,0,1561.91
2010/1/13,1535.78,1548.46,1512.81,1538.43,0,1538.43
2010/1/12,1550.2,1559.75,1528.09,1535.78,0,1535.78
2010/1/11,1444.7,1561.8,1444.7,1553.06,0,1553.06
2009/12/31,1426.93,1448.86,1426.93,1444.61,0,1444.61
2009/12/30,1444.91,1444.91,1426.12,1426.93,0,1426.93
2009/12/29,1452.77,1455.32,1437.89,1445.17,0,1445.17
2009/12/28,1451.68,1457.14,1448.85,1451.6,0,1451.6
2009/12/25,1443.61,1451.11,1439.6,1450.25,0,1450.25
2009/12/23,1421.03,1437.24,1413.34,1434.6,0,1434.6
2009/12/22,1425.6,1428.1,1411.44,1417.22,0,1417.22
2009/12/21,1411.32,1430.36,1405.27,1425.45,0,1425.45
2009/12/18,1403.85,1429.67,1399.59,1410.22,0,1410.22
2009/12/17,1448.92,1456.73,1398.74,1400.91,0,1400.91
2009/12/16,1396.32,1449.36,1391.83,1449.02,0,1449.02
2009/12/15,1381.91,1396.36,1374.64,1396.32,0,1396.32
2009/12/14,1366.36,1382.22,1355.07,1381.91,0,1381.91
2009/12/11,1351.98,1376.86,1350.02,1366.36,0,1366.36
2009/12/10,1348.98,1360.02,1327.44,1351.98,0,1351.98
2009/12/9,1351.33,1359.76,1341.42,1348.92,0,1348.92
2009/12/8,1389.23,1399.08,1347.71,1353.23,0,1353.23
2009/12/7,1425.09,1425.09,1384.72,1389.64,0,1389.64
2009/12/4,1411.03,1431.01,1396.09,1427.13,0,1427.13
2009/12/3,1415.12,1438.98,1407.3,1409.32,0,1409.32
2009/12/2,1415.07,1437.88,1406.69,1415.98,0,1415.98
2009/12/1,1372.17,1418.25,1368.45,1416.3,0,1416.3
2009/11/30,1369.6,1393.16,1356.06,1374.93,0,1374.93
2009/11/27,1366.27,1369.6,1293.49,1369.6,0,1369.6
2009/11/26,1427.41,1432.85,1358.83,1366.85,0,1366.85
2009/11/25,1447.23,1456.06,1418.37,1427.55,0,1427.55
