Date,Open,High,Low,Close,Volume,Adj Close
2010-05-06,64915.00,65533.00,60774.00,63414.00,3207600,63414.00
2010-05-05,64859.00,65612.00,63533.00,64914.00,2681200,64914.00
2010-05-04,67116.00,67116.00,64588.00,64869.00,2820000,64869.00
2010-05-03,67534.00,67969.00,66723.00,67119.00,1776000,67119.00
2010-04-30,67975.00,67975.00,67243.00,67530.00,2120200,67530.00
2010-04-29,66661.00,68012.00,66661.00,67978.00,1609400,67978.00
2010-04-28,66513.00,67253.00,65914.00,66656.00,1855600,66656.00
2010-04-27,68868.00,68868.00,66499.00,66511.00,2062200,66511.00
2010-04-26,69509.00,69810.00,68813.00,68872.00,1179400,68872.00
2010-04-23,69388.00,69709.00,68832.00,69509.00,1366800,69509.00
2010-04-22,69313.00,69528.00,68081.00,69386.00,1787200,69386.00
2010-04-20,69101.00,69702.00,69101.00,69318.00,1750200,69318.00
2010-04-19,69418.00,69431.00,68378.00,69098.00,1722000,69098.00
2010-04-16,70522.00,70522.00,69013.00,69421.00,2043800,69421.00
2010-04-15,71036.00,71066.00,70429.00,70524.00,2264600,70524.00
2010-04-14,70794.00,71207.00,70628.00,71035.00,1758800,71035.00
2010-04-13,70618.00,71053.00,70169.00,70792.00,1634200,70792.00
2010-04-12,71414.00,71607.00,70505.00,70614.00,1471600,70614.00
2010-04-09,71783.00,71989.00,71307.00,71417.00,1680000,71417.00
2010-04-08,70793.00,71805.00,70462.00,71785.00,1701800,71785.00
2010-04-07,71092.00,71257.00,70531.00,70793.00,1720400,70793.00
2010-04-06,71290.00,71711.00,70823.00,71096.00,1697000,71096.00
2010-04-05,71148.00,71645.00,71148.00,71290.00,1316000,71290.00
2010-04-01,70375.00,71401.00,70373.00,71136.00,1552800,71136.00
2010-03-31,69960.00,70392.00,69573.00,70372.00,1676800,70372.00
2010-03-30,69942.00,70451.00,69750.00,69960.00,1490000,69960.00
2010-03-29,68681.00,69943.00,68681.00,69939.00,1528000,69939.00
2010-03-26,68442.00,68910.00,68024.00,68683.00,1771400,68683.00
2010-03-25,68916.00,69572.00,68377.00,68442.00,1478400,68442.00
2010-03-24,69382.00,69677.00,68744.00,68913.00,1597400,68913.00
2010-03-23,69049.00,69613.00,68913.00,69387.00,1606600,69387.00
2010-03-22,68814.00,69121.00,67899.00,69042.00,1395200,69042.00
2010-03-19,69701.00,69998.00,68773.00,68829.00,1957400,68829.00
2010-03-18,69726.00,70128.00,68972.00,69697.00,1656200,69697.00
2010-03-17,69945.00,70424.00,69376.00,69723.00,1372000,69723.00
2010-03-16,69023.00,69949.00,69022.00,69942.00,1302400,69942.00
2010-03-15,69340.00,69384.00,68623.00,69024.00,1453000,69024.00
2010-03-12,69901.00,70486.00,69341.00,69341.00,1569000,69341.00
2010-03-11,69981.00,70183.00,69411.00,69885.00,1627200,69885.00
2010-03-10,69578.00,70476.00,69578.00,69979.00,1909200,69979.00
2010-03-09,68573.00,70144.00,68255.00,69576.00,2464200,69576.00
2010-03-08,68851.00,69070.00,68318.00,68575.00,1428200,68575.00
2010-03-05,67823.00,68930.00,67823.00,68847.00,1950600,68847.00
2010-03-04,67643.00,68198.00,66924.00,67815.00,1398600,67815.00
2010-03-03,67780.00,68813.00,67482.00,67641.00,2113800,67641.00
2010-03-02,67228.00,68250.00,67228.00,67779.00,1708600,67779.00
2010-03-01,66511.00,67397.00,66511.00,67228.00,1363000,67228.00
2010-02-26,66118.00,66510.00,65607.00,66503.00,1731400,66503.00
2010-02-25,65765.00,66325.00,64429.00,66121.00,1792200,66121.00
2010-02-24,66110.00,66514.00,65534.00,65795.00,1573000,65795.00
2010-02-23,67179.00,67179.00,65660.00,66108.00,1644800,66108.00
2010-02-22,67598.00,68120.00,67035.00,67184.00,1401600,67184.00
2010-02-19,67811.00,67935.00,67210.00,67597.00,1248000,67597.00
2010-02-18,67285.00,67836.00,66550.00,67836.00,1286600,67836.00
2010-02-17,65863.00,67542.00,65863.00,67285.00,000,67285.00
2010-02-12,66129.00,66133.00,65123.00,65855.00,873200,65855.00
2010-02-11,65050.00,66145.00,64344.00,66129.00,1259000,66129.00
2010-02-10,64721.00,65170.00,64320.00,65051.00,891000,65051.00
2010-02-09,63164.00,65526.00,63164.00,64718.00,1357400,64718.00
2010-02-08,62760.00,63923.00,62728.00,63153.00,1875600,63153.00
2010-02-05,63934.00,64001.00,61341.00,62763.00,3053000,62763.00
2010-02-04,67100.00,67100.00,63750.00,63934.00,2262400,63934.00
2010-02-03,67163.00,67347.00,66774.00,67109.00,1765000,67109.00
2010-02-02,66589.00,67321.00,66539.00,67163.00,1587800,67163.00
2010-02-01,65402.00,66763.00,65362.00,66572.00,1494400,66572.00
2010-01-29,65591.00,66576.00,65140.00,65402.00,1823200,65402.00
2010-01-28,65071.00,66049.00,64541.00,65588.00,1649400,65588.00
2010-01-27,65527.00,65663.00,64553.00,65070.00,1813600,65070.00
2010-01-26,66213.00,66213.00,64719.00,65524.00,1990400,65524.00
2010-01-22,66264.00,66660.00,65445.00,66220.00,1305000,66220.00
2010-01-21,68200.00,68458.00,65996.00,66270.00,2263800,66270.00
2010-01-20,69901.00,69901.00,67546.00,68200.00,1990600,68200.00
2010-01-19,69396.00,70036.00,68867.00,69909.00,1323400,69909.00
2010-01-18,68983.00,69748.00,68983.00,69401.00,1139000,69401.00
2010-01-15,69780.00,69788.00,68695.00,68978.00,1648400,68978.00
2010-01-14,70377.00,70508.00,69661.00,69801.00,1830200,69801.00
2010-01-13,70081.00,70626.00,69535.00,70385.00,1818800,70385.00
2010-01-12,70429.00,70429.00,69284.00,70076.00,1628600,70076.00
2010-01-11,70267.00,71068.00,70158.00,70433.00,1569000,70433.00
2010-01-08,70455.00,70766.00,70158.00,70263.00,1634400,70263.00
2010-01-07,70723.00,70723.00,70045.00,70451.00,1555000,70451.00
2010-01-06,70237.00,70937.00,70016.00,70729.00,2243600,70729.00
2010-01-05,70046.00,70595.00,69928.00,70240.00,1984200,70240.00
2010-01-04,68587.00,70081.00,68587.00,70045.00,1655400,70045.00
2009-12-30,68277.00,68588.00,67749.00,68588.00,1182200,68588.00
2009-12-29,67902.00,68309.00,67902.00,68296.00,669200,68296.00
2009-12-28,67591.00,68277.00,67591.00,67902.00,556400,67902.00
2009-12-23,67418.00,67810.00,66943.00,67589.00,904400,67589.00
2009-12-22,65940.00,67421.00,65940.00,67418.00,1272600,67418.00
2009-12-21,66806.00,67671.00,65925.00,65925.00,1406000,65925.00
2009-12-18,67068.00,67281.00,66322.00,66794.00,1075200,66794.00
2009-12-17,68619.00,68619.00,66792.00,67068.00,1339400,67068.00
2009-12-16,69310.00,69622.00,68466.00,68622.00,1710000,68622.00
2009-12-15,69345.00,69515.00,68822.00,69311.00,1284200,69311.00
2009-12-14,69273.00,69785.00,69193.00,69349.00,1294000,69349.00
2009-12-11,68750.00,69502.00,68750.00,69267.00,1489600,69267.00
2009-12-10,68021.00,68912.00,68021.00,68728.00,1473200,68728.00
2009-12-09,67736.00,68272.00,67484.00,68012.00,1141400,68012.00
2009-12-08,68511.00,68511.00,67470.00,67729.00,1550000,67729.00
2009-12-07,67611.00,68866.00,67611.00,68512.00,1186200,68512.00
2009-12-04,68316.00,69361.00,67328.00,67604.00,1410600,67604.00
2009-12-03,68622.00,69336.00,68308.00,68315.00,1223400,68315.00
2009-12-02,68412.00,69139.00,68412.00,68615.00,1362000,68615.00
2009-12-01,67051.00,68616.00,67051.00,68546.00,2326400,68546.00
2009-11-30,67082.00,67545.00,66876.00,67044.00,2224800,67044.00
2009-11-27,66371.00,67086.00,65737.00,67082.00,1172000,67082.00
2009-11-26,67911.00,67911.00,66236.00,66392.00,825600,66392.00
2009-11-25,67319.00,67997.00,67241.00,67917.00,1385400,67917.00
2009-11-24,66812.00,67317.00,65969.00,67317.00,1348000,67317.00
2009-11-23,66335.00,67365.00,66335.00,66809.00,1582600,66809.00
2009-11-19,66514.00,66564.00,65547.00,66327.00,1467000,66327.00
2009-11-18,67430.00,68060.00,66494.00,66516.00,1592000,66516.00
2009-11-17,66632.00,67409.00,66232.00,67406.00,1733800,67406.00
2009-11-16,65326.00,66896.00,65326.00,66627.00,1757800,66627.00
2009-11-13,64452.00,65788.00,64229.00,65326.00,1859000,65326.00
2009-11-12,66427.00,66614.00,64319.00,64448.00,1914400,64448.00
2009-11-11,66303.00,67170.00,66028.00,66431.00,1807800,66431.00
2009-11-10,66214.00,66709.00,65706.00,66303.00,1652000,66303.00
2009-11-09,64475.00,66236.00,64475.00,66214.00,1599800,66214.00
2009-11-06,64820.00,65094.00,63587.00,64466.00,1659000,64466.00
2009-11-05,63907.00,64830.00,63700.00,64816.00,1575600,64816.00
2009-11-04,62650.00,64142.00,62650.00,63913.00,1891200,63913.00
2009-11-03,61539.00,63237.00,60724.00,62643.00,1902600,62643.00
2009-10-30,63721.00,64226.00,60913.00,61546.00,1996200,61546.00
2009-10-29,60167.00,63907.00,60167.00,63721.00,1747800,63721.00
2009-10-28,63161.00,63173.00,60146.00,60162.00,2238800,60162.00
