obs,SAVINGS,INCOME,DUM
1970,61,727.1,0
1971,68.6,790.2,0
1972,63.6,855.3,0
1973,89.6,965,0
1974,97.6,1054.2,0
1975,104.4,1159.2,0
1976,96.4,1273,0
1977,92.5,1401.4,0
1978,112.6,1580.1,0
1979,130.1,1769.5,0
1980,161.8,1973.3,0
1981,199.1,2200.2,0
1982,205.5,2347.3,1
1983,167,2522.4,1
1984,235.7,2810,1
1985,206.2,3002,1
1986,196.5,3187.6,1
1987,168.4,3363.1,1
1988,189.1,3640.8,1
1989,187.8,3894.5,1
1990,208.7,4166.8,1
1991,246.4,4343.7,1
1992,272.6,4613.7,1
1993,214.4,4790.2,1
1994,189.4,5021.7,1
1995,249.3,5320.8,1
